Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price,Data Url
1722523,ROUND,0.5,VS2,Q-R,EX,EX,EX,M,5.16-5.18×3.09,830.64,https://capitalwholesalediamonds.com/product/0-5-ct-round-7015/
1766656,ROUND,0.3,VS1,K,EX,EX,EX,M,4.28-4.30×2.69,831.34,https://capitalwholesalediamonds.com/product/0-3-ct-round-5749/
1772357,ROUND,0.31,VS1,K,VG,EX,VG,N,4.33-4.38×2.69,831.51,https://capitalwholesalediamonds.com/product/0-31-ct-round-1202/
1775145,ROUND,0.3,SI1,J,VG,EX,VG,M,4.34-4.40×2.57,832.33,https://capitalwholesalediamonds.com/product/0-3-ct-round-5698/
1774054,ROUND,0.53,SI2,O-P,EX,EX,EX,N,5.18-5.21×3.25,832.43,https://capitalwholesalediamonds.com/product/0-53-ct-round-426/
1769357,ROUND,0.3,VS1,L,EX,VG,VG,N,4.24-4.28×2.66,833.37,https://capitalwholesalediamonds.com/product/0-3-ct-round-5819/
1790927,ROUND,0.3,SI1,I,VG,EX,EX,N,4.38-4.41×2.64,837.46,https://capitalwholesalediamonds.com/product/0-3-ct-round-5517/
1799586,ROUND,0.3,SI2,H,GD,VG,GD,N,4.19-4.23×2.73,837.95,https://capitalwholesalediamonds.com/product/0-3-ct-round-5293/
1777253,ROUND,0.3,VS2,K,EX,VG,EX,N,4.25-4.28×2.67,838.41,https://capitalwholesalediamonds.com/product/0-3-ct-round-5765/
1754784,ROUND,0.32,VS1,K,EX,EX,EX,ST,4.38-4.40×2.68,838.83,https://capitalwholesalediamonds.com/product/0-32-ct-round-854/
1793018,ROUND,0.3,SI1,K,VG,VG,VG,N,4.18-4.23×2.67,838.92,https://capitalwholesalediamonds.com/product/0-3-ct-round-5785/
1787752,ROUND,0.29,SI1,G,VG,EX,GD,N,4.19-4.22×2.71,839.83,https://capitalwholesalediamonds.com/product/0-29-ct-round-90/
1778319,ROUND,0.36,VS1,N,EX,EX,EX,M,4.57-4.60×2.86,841.76,https://capitalwholesalediamonds.com/product/0-36-ct-round-584/
1790930,ROUND,0.3,SI1,J,VG,VG,GD,F,4.25-4.30×2.63,842.52,https://capitalwholesalediamonds.com/product/0-3-ct-round-5688/
1789675,ROUND,0.3,VS1,K,VG,EX,VG,F,4.33-4.35×2.57,842.52,https://capitalwholesalediamonds.com/product/0-3-ct-round-5745/
1590179,ROUND,0.5,SI2,M,VG,EX,VG,N,5.03-5.08×3.05,842.99,https://capitalwholesalediamonds.com/product/0-5-ct-round-4464/
1789740,ROUND,0.3,VS2,K,EX,EX,VG,N,4.29-4.32×2.61,843.02,https://capitalwholesalediamonds.com/product/0-3-ct-round-5769/
1788924,ROUND,0.3,SI1,I,EX,EX,EX,F,4.32-4.34×2.66,845.0,https://capitalwholesalediamonds.com/product/0-3-ct-round-5506/
1793015,ROUND,0.3,SI1,I,GD,VG,GD,N,4.09-4.16×2.74,845.0,https://capitalwholesalediamonds.com/product/0-3-ct-round-5523/
1791699,ROUND,0.3,SI1,K,EX,EX,EX,N,4.28-4.30×2.67,845.05,https://capitalwholesalediamonds.com/product/0-3-ct-round-5788/
